instrument,asset_class,exposure_usd,historical_return,historical_stress_pnl,pnl_pct_nav,scenario_id,scenario_name
SPY,Equity,25000000,-0.3371726607877109,-8429316.519692773,-8.429316519692772,covid_crash,COVID-19 Market Crash
QQQ,Equity,15000000,-0.27916600700389627,-4187490.105058444,-4.187490105058444,covid_crash,COVID-19 Market Crash
VGK,Equity,10000000,-0.3626092313639274,-3626092.3136392743,-3.6260923136392744,covid_crash,COVID-19 Market Crash
IEF,Rates,15000000,0.06375939761652605,956390.9642478907,0.9563909642478907,covid_crash,COVID-19 Market Crash
TLT,Rates,10000000,0.14234324215381622,1423432.4215381623,1.4234324215381624,covid_crash,COVID-19 Market Crash
LQD,Credit,10000000,-0.12297995208931378,-1229799.520893138,-1.2297995208931378,covid_crash,COVID-19 Market Crash
HYG,Credit,5000000,-0.2189610466525317,-1094805.2332626584,-1.0948052332626583,covid_crash,COVID-19 Market Crash
GLD,Commodity,5000000,-0.036168327802914235,-180841.63901457118,-0.18084163901457118,covid_crash,COVID-19 Market Crash
EURUSD,FX,3000000,-0.00935749541566644,-28072.486246999317,-0.028072486246999314,covid_crash,COVID-19 Market Crash
USDJPY,FX,2000000,0.004939994667982006,9879.989335964012,0.009879989335964012,covid_crash,COVID-19 Market Crash
SPY,Equity,25000000,-0.2426981692703234,-6067454.231758085,-6.067454231758084,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
QQQ,Equity,15000000,-0.34765436159895435,-5214815.423984315,-5.214815423984316,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
VGK,Equity,10000000,-0.30857732647268643,-3085773.264726864,-3.085773264726864,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
IEF,Rates,15000000,-0.1621106060351757,-2431659.090527635,-2.431659090527635,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
TLT,Rates,10000000,-0.3058821631657058,-3058821.6316570584,-3.0588216316570582,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
LQD,Credit,10000000,-0.21740778356245927,-2174077.835624593,-2.1740778356245927,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
HYG,Credit,5000000,-0.14648166994378142,-732408.3497189071,-0.7324083497189071,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
GLD,Commodity,5000000,-0.09118995982024491,-455949.7991012246,-0.4559497991012245,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
EURUSD,FX,3000000,-0.14262318398691753,-427869.5519607526,-0.4278695519607526,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
USDJPY,FX,2000000,0.2792291384009373,558458.2768018746,0.5584582768018747,inflation_selloff_2022,2022 Inflation / Rates Sell-Off
SPY,Equity,25000000,-0.004160554205053568,-104013.8551263392,-0.1040138551263392,regional_banking_stress,2023 Regional Banking Stress
QQQ,Equity,15000000,0.04550142326900253,682521.3490350379,0.6825213490350379,regional_banking_stress,2023 Regional Banking Stress
VGK,Equity,10000000,-0.01995697122482054,-199569.7122482054,-0.19956971224820544,regional_banking_stress,2023 Regional Banking Stress
IEF,Rates,15000000,0.051695137990648066,775427.069859721,0.775427069859721,regional_banking_stress,2023 Regional Banking Stress
TLT,Rates,10000000,0.04940065461438192,494006.5461438192,0.49400654614381917,regional_banking_stress,2023 Regional Banking Stress
LQD,Credit,10000000,0.03851630780842763,385163.0780842763,0.3851630780842763,regional_banking_stress,2023 Regional Banking Stress
HYG,Credit,5000000,-0.003250419362084478,-16252.09681042239,-0.01625209681042239,regional_banking_stress,2023 Regional Banking Stress
GLD,Commodity,5000000,0.0896523152501798,448261.576250899,0.44826157625089896,regional_banking_stress,2023 Regional Banking Stress
EURUSD,FX,3000000,0.026946730225374305,80840.19067612292,0.08084019067612291,regional_banking_stress,2023 Regional Banking Stress
USDJPY,FX,2000000,-0.04749947718012004,-94998.95436024008,-0.09499895436024007,regional_banking_stress,2023 Regional Banking Stress
